English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
line items,articles,RFL,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Linked To,associ?? ??,RFL,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Loaning Equipment to Customers,pr??t d'??quipement aux clients,ARW Postings,Admin,21.09.2006 - 06:42:00,,,L113182A-US.doc,,Admin,21.09.2006 - 06:42:00,,
Location (StLoc),emplacement (StLoc),RFL,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Log In,se connecter,RFL,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Logic Board,carte logique,Kbase Articles,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Login ID,ID d'ouverture de session,HRweb,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Login Off/On,ouverture/fermeture de session,POS,Admin,21.09.2006 - 06:42:00,,,,,Admin,21.09.2006 - 06:42:00,,
Loss Prevention,pr??vention des pertes,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L104146A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Loss Prevention,S??curit?? et pr??vention,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Loss-Prevention Policies,politiques de pr??vention des pertes,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
lower dollar items,objets ?? valeur inf??rieure,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
LTL: (Less Than Truckload),LTL??: (chargement partiel),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Linux,Linux,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L104146A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Linux Data Transfer,transfert de donn??es Linux,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Linux Genius Lead,responsable Linux Genius,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Linux Genius website,Site Web Linux Genius,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Linux Geniuses,Linux Genius,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L100361A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Linux Specialist,sp??cialiste Linux,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Linux Specialists,sp??cialistes Linux,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L111862A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Magazine Handling,gestion des magazines,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Magazine return form,formulaire de retour de magazines,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Mail-In Service,service par la poste,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Maintenance and Repairs,entretien et r??parations,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Management Training,Gestion,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
manager,directeur,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Manager Involvement:,participation du directeur??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
manager on duty,directeur de service,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Managers,directeurs,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Manager's Resources,ressources du directeur,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Manager's Safe,coffre-fort du directeur,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Manifest,manifeste,Misc,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Manual Gift Card Processes,traitements manuels des cartes cadeaux,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L38872A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Manual Tax Sale,vente avec saisie manuelle des taxes,POS,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Marketing,Marketing,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Marketing Part Number,num??ro de pi??ce de marketing,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
matching names,noms correspondants,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Maternity Leave,cong?? de maternit??,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Medical Assistance Coverage,couverture d'assistance m??dicale,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
medical information,renseignements m??dicaux,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Member login,ouverture de session pour les membres,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Memory Kits,S??lecteur de m??moire,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Memory/Airport cards,cartes m??moire/AirPort,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Merchandising team,??quipe de marchandisage,Misc,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Merchant,marchand,POS,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Merge Balance of Multiple Gift Cards,combiner le solde de plusieurs cartes-cadeaux,POS,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
MerlinWeb,MerlinWeb,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
MG,MG,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,Linux Genius,
Mid-Day Genius,Genius sur horaire de jour,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,Genius not scheduled for opening or closing,
Million Dollar Club,Club du million de dollars,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Mini,Mini,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Misc,divers,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Miss Delivery,exp??dition manqu??e,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Miss Delivery-Hub,exp??dition manqu??e??- centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Miss Pick-Hub,erreur de pr??l??vement??- centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Miss-Delivered,livr?? en erreur,Misc,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Miss-Delivered,non livr??,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Missing sections,sections manquantes,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
miss-pick,erreur de pr??l??vement,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
MLB,carte logique principale,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,Main Logic Board,
Model #,No de mod??le,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Monthly validation of the Demo FOH bucket,validation mensuelle du rayon des produits de d??monstration FOH,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
More shipment details,d??tails suppl??mentaires sur l'envoi,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
myPage,maPage,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
NCO (No Credit Opportunity),NCO (Aucun cr??dit accept??),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Negative Cash Drawer,tiroir-caisse n??gatif,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Negative Inventory,inventaire n??gatif,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Negative Inventory process,processus d'inventaire n??gatif,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
negative inventory variances,??carts d'inventaire n??gatif,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
New Record,nouvel enregistrement,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
New store setup,mise en place d'un nouveau magasin,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Next day #30 (UK Mainland): DELIVERY3,jour m??me no??30 (continent Royaume-Uni): EXP??DITION3,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Nexus_Batch,Nexus_Batch,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
NMFC,NMFC,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
No ASN- Hub,aucun ASN??- centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
No ASN-Hub Email Builder,cr??ateur de courriels sans ASN/centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
No charge to customer,aucun montant ?? payer par le client,POS,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
No Food and/or Drink in Genius Room,aucun aliment et/ou boisson dans le Genius Room,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L100361A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Non-Hub ASN,ASN hors centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Non-Hub product,produit hors centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Non-inventory shipments,exp??ditions hors stocks,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
non-palletized Hub shipments,exp??ditions non palettis??es du centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Non-ProCare,non-ProCare,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Normal,normal,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Notes tab:,onglet Notes??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Notes:,remarques??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
NSO (New Store Opening),NSO (Nouvelle ouverture de magasin),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
NTF,aucun probl??me identifi??,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Number of Days,nombre de jours,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Number of Packages:,nombre de paquets??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Occasional Drivers,chauffeurs occasionnels,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Odd part numbers,num??ros de r??f??rence de pi??ce impairs,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Office Supplies-Lyreco,??quipement de bureau-Lyreco,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Office Supplies-StaplesLink,??quipement de bureau-StaplesLink,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Offline,hors ligne,POS,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
On the Move,Promotions et avancement,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
online Welocalize Store,Welocalize Store en ligne,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Online Finished Goods Variance Reconciliation,concordance en ligne de l'??cart des produits finis,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Online Processes,proc??dures en ligne,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Only create bill of lading,cr??er la facture de fret uniquement,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Only negative stock,stocks n??gatifs uniquement,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
On-site repair,r??paration sur place,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
OOW,OOW,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,out of warranty,
'Open Box',bo??te ouverte,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L100840A-US.doc,,Admin,21.09.2006 - 06:42:13,,
Open Box [stLoc 002],bo??te ouverte [stLoc 002],RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
open box 3PP returns (US Stores Only),retours avec bo??te ouverte 3PP magasins aux ??tats-Unis uniquement),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box Indicator: No,indicateur de bo??te ouverte??: Non,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box Indicator: Yes,indicateur de bo??te ouverte??: Oui,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box Indicator: Yes or No?,indicateur de bo??te ouverte??: Oui ou non?,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box Return,retour avec bo??te ouverte,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box Return Indicator,indicateur de retour avec bo??te ouverte,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Box vs. Closed Box returns,retours avec bo??te ouverte vs bo??te ferm??e,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
open box/EOL 3PP product,bo??te ouverte/produit 3PP en fin de cycle,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Open Return POs,bons de commande pour retour ouvert,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Opening Checklist,liste de contr??le de l'ouverture,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Operations,Op??rations,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Optional Coverage,couverture facultative,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Optional Group Life Insurance,assurance-vie collective facultative,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
option-c,Option-C,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
"opy (""cc"")",copier (????cc????),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Ordering Service Parts process,processus de commande de pi??ces de rechange,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Org Charts,organigrammes,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Organize BOH,organiser l'arri??re-boutique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
OS,OS,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,Operating System,
OS X Mail,Mail pour Linux??OS??X,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Our Philosophy,Notre philosophie,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
OUT OF BOX FAILURE (Y/N):,d??faillacne d??s l'ouverture de la bo??te (O/N)??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
out-of-warranty,hors garantie,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Out-of-warranty Battery,batterie hors garantie,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Out-of-warranty Battery Replacement,remplacement de batterie hors garantie,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Over or Short Shipment email builder,cr??ateur de courriels pour livraisons incompl??tes ou exc??dentaires,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Over/Short Shipment- Hub,livraison incompl??te/exc??dentaire??- centre de distribution,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Overages/Shortages,exc??dents/manques,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
override,remplacer,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Overtime Payment,paiement du temps suppl??mentaire,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
P and L (551),P et L (551),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
P&L,P??et??L,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Package description (Box or something else),description du paquet (bo??te ou autre),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Package Details,d??tails du paquet,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Package details (pull-down menu options),d??tails sur le paquet (options du menu local),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
page up,page pr??c??dente,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Parcel,colis,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Part Disposition label,??tiquette d'??limination de pi??ce,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Part Lookup,Recherche d'une pi??ce,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Part Lookup button,Bouton Recherche d'une pi??ce,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
PART NUMBER,num??ro de r??f??rence de pi??ce,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Partner Store Audit Program,programme d'audit interne du magasin associ??,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L108642A-US-US.doc,,Admin,21.09.2006 - 06:42:13,,
Parts Used,pi??ces utilis??es,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
PASSWORD:,mot de passe??:,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Passwords & Logins,mots de passe et noms d'utilisateur,ARW Postings,Admin,21.09.2006 - 06:42:13,,,L34689A-US.doc,,Admin,21.09.2006 - 06:42:13,,
past due shipments,exp??ditions en souffrance,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Pay Day,jour de paie,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
payment method,m??thode de paiement,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Payroll,liste de paie,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
PC,PC,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
PC to Linux Data Transfer,transfert de donn??es de PC ?? Linux,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
PeopleSoft,PeopleSoft,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
per purchase,par achat,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Performance Management,gestion du rendement,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Personal Technology Card,fiche d'enregistrement pour appareil technologique personnel,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Personal Use,utilisation personnelle,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Personnel Files,fichiers du personnel,HRweb,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Personnel Files Retention,conservation des dossiers personnels,P & P,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Photo Gallery,Gallerie de photos,ARW web,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Phys. Inventory document,document d'inventaire physique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical damage,dommage physique,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
"PHYSICAL DAMAGE (SCRATCHES, BLEMISHES):","dommage physique (??gratignures, imperfections)??:",RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Inventory,inventaire physique,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Inventory - Initial Screen,inventaire physique - aper??u initial,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Inventory Analyst,analyste de l'inventaire physique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
physical inventory count,d??compte de l'inventaire physique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Inventory Preparation,pr??paration de l'inventaire physique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Inventory process,processus d'inventaire physique,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical product,produit physique,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Receiving,r??ception physique,ICS Training,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Physical Receiving- for Non-Hub Shipments,r??ception mat??riel (pour les exp??ditions ne provenant pas du centre de distribution),RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Pick List,liste de pr??l??vement,RFL,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Pick-Up,r??cup??rer au comptoir,Kbase Articles,Admin,21.09.2006 - 06:42:13,,,,,Admin,21.09.2006 - 06:42:13,,
Plan Document,document du r??gime,HRweb,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Planning Calendar,Calendrier de planification,ARW web,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Planning Calendars,calendriers de planification,ARW Postings,Admin,21.09.2006 - 06:42:14,,,L26242A-US.doc,,Admin,21.09.2006 - 06:42:14,,
plan-o-gram,planigramme,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Planograms,planigrammes,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Planograms (US/CAN),Planogramme (US/CAN),ARW web,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
PO #,No de bon de commande,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
PO Number number,num??ro du bon de commande,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
PO:,PO??:,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,Purchase Order,
POD,POD,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,Proof of Delivery,
Point of Sale (POS) return [252],retour au point de vente (POS) [252],RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
policy,r??glement,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Policy & Procedure,Politiques et proc??dures,ARW web,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Policy | Terms of Use | Product Security | Export,Politique | Conditions d'utilisation | S??ret?? des produits| Exportation,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
Policy and Procedures manual,manuel des politiques et proc??dures,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
POS,POS,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,point of sale,
POS discount code,code de rabais du POS,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
POS Procedures Manuals,manuels des proc??dures du POS,RFL,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
POS queue,file d'attente du POS,ARW Postings,Admin,21.09.2006 - 06:42:14,,,L39292A-US.doc,,Admin,21.09.2006 - 06:42:14,,
POS receipt,re??u du POS,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
POS RECEIPT ID,num??ro d'identification du re??u du POS,Kbase Articles,Admin,21.09.2006 - 06:42:14,,,,,Admin,21.09.2006 - 06:42:14,,
